ID,meanAGB,100Y,AGBeq,c,t
666,91.39116298,91.26468159,91.39559153,1,15.27080581
667,94.84883918,94.71347212,94.85170338,1,15.31125831
668,90.18368106,90.15317995,90.18639688,1,12.64770241
670,91.21209885,91.18866506,91.19247651,1.059648685,9.861296567
671,138.2210927,137.2682153,138.1725236,1.002294565,19.87529283
672,138.4315102,137.3048576,138.2854959,0.998658472,20.21208819
678,78.1923612,78.20209421,78.21216637,1.035083703,11.12113792
679,88.45603467,88.32399187,88.45279605,0.999987497,15.30943761
680,91.1364231,91.00211649,91.13842823,1,15.37234043
681,93.70354088,93.50491968,93.67595365,0.999306259,15.86032455
682,92.01000188,91.88770146,92.02065183,1,15.29100529
683,127.1247262,126.3107631,126.9467031,0.997894297,18.8881818
684,115.1285549,114.8041974,115.0272754,0.997677108,16.01773625
685,108.2345792,108.1125388,108.1747124,1.002311367,13.39785579
691,93.91277206,93.96236219,94.02299649,1.484944969,12.91704887
692,82.22444181,82.1923559,82.28850031,1.311158527,14.23911622
693,87.42511737,87.3043495,87.42637351,0.999869399,15.21096707
694,87.83508149,87.68870143,87.83698923,1,15.66395664
695,86.46482188,86.31148625,86.46523469,1,15.79234972
696,89.7487294,89.5836803,89.75250479,1,15.93383873
697,138.0127419,132.1536315,137.9678789,1.003573842,31.54374222
698,122.5791862,120.8961186,122.3505221,1.040735708,22.36141728
699,137.658192,134.1089433,137.4696046,1.000127888,26.94407304
700,144.976522,143.3096821,144.4888193,1.027216367,20.68182447
703,129.8346864,129.8439104,129.8467865,3.42168576,8.369738312
704,122.2286251,122.24956,122.2518813,3.217561894,8.305430956
705,116.0541275,116.1424512,116.1452737,2.668180309,8.615966871
706,102.7633417,101.2442867,102.5288021,0.998099826,22.84214656
707,80.54036432,80.3879871,80.54550725,1,16.0332871
708,83.70354623,83.53562744,83.70509015,1,16.12273361
709,99.76705192,99.68811132,99.93850083,1.391109427,15.8251846
710,124.1889398,122.7281455,124.223648,1.210789513,21.69271919
711,122.4334202,120.4531136,122.0961871,1.051273545,22.94676254
712,129.9903985,127.4995845,127.9732571,1.178735845,17.35140584
713,130.0219984,128.9547631,129.9265023,1.008007442,20.39325349
714,138.3697022,137.2520985,137.7359877,1.130292091,17.3204818
715,138.4236379,136.8267697,137.0062133,1.57811156,14.09659987
