OID_,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,PCT95,PCT100
119,120,124901.000000000000000,0.009071226328120,1,2008,2007,535.398171351999963,359.397192442999994,66871767.000000000000000,1492,224,1153,471,1010,1138,2008
120,121,68690.000000000000000,0.004988771398770,1,3822,3821,323.423220264999998,307.347217430999990,22215941.000000000000000,1231,112,434,207,817,954,3822
121,122,89868.000000000000000,0.006526873024680,1,783,782,130.258234299000009,68.203281684199993,11706047.000000000000000,469,95,356,119,218,250,783
122,123,9402.000000000000000,0.000682842170495,1,633,632,143.860987023999996,76.263085513799993,1352581.000000000000000,388,99,1,133,234,267,633
123,124,8774.000000000000000,0.000637232206330,2,2483,2481,695.921472532000053,527.108077039000023,6106015.000000000000000,1254,590,17,560,1506,1633,2483
124,125,6793116.000000000000000,0.493365887456000,1,5342,5341,1261.975418790000049,858.415550641999971,8572745409.000000000000000,4733,1051,4561,1056,2598,3034,5342
125,126,12642640.000000000000000,0.918201205954000,1,4992,4991,1482.059242929999982,831.601929404999964,18737141467.000000000000000,4636,1364,4738,1345,2659,3133,4992
126,127,7283009.000000000000000,0.528945508753000,1,4892,4891,1256.427757539999902,692.815926823000041,9150574666.000000000000000,4424,1354,4225,1175,2077,2809,4892
127,128,2775683.000000000000000,0.201590449301000,1,4806,4805,910.711159018999979,389.917683703000023,2527845482.000000000000000,2813,924,2028,933,1374,1460,4806
128,129,728387.000000000000000,0.052900804088500,1,4402,4401,881.502458170999944,420.363924267000016,642074931.000000000000000,2868,932,1879,899,1357,1468,4402
129,130,160996.000000000000000,0.011692709857600,1,1969,1968,202.206147979000008,168.342982495000001,32554381.000000000000000,1165,134,598,163,354,474,1969
130,131,26630.000000000000000,0.001934065837080,1,773,772,150.247915884000008,82.614348037499994,4001102.000000000000000,496,105,355,137,247,294,773
131,132,44381.000000000000000,0.003223273598030,1,2352,2351,610.540479033999986,508.596741281999982,27096397.000000000000000,1721,86,627,436,1375,1503,2352
132,133,6803788.000000000000000,0.494140966337000,1,5386,5385,1665.086457430000110,1038.682878840000058,11328895258.000000000000000,4710,310,4832,1513,3139,3607,5386
133,134,11883679.000000000000000,0.863079893833000,1,5258,5257,1466.115879349999886,829.021396425000034,17422850487.000000000000000,4612,1350,4659,1308,2708,3242,5258
134,135,5394193.000000000000000,0.391765843032000,1,4621,4620,1032.175734160000047,481.835729243000003,5567755120.000000000000000,4198,1337,3824,1032,1464,1607,4621
135,136,1664594.000000000000000,0.120895020203000,1,4375,4374,993.006575176999945,443.349442322000016,1652952787.000000000000000,3458,921,2339,975,1461,1604,4375
136,137,692222.000000000000000,0.050274236645800,1,3653,3652,505.033206109999981,403.801590254000018,349595096.000000000000000,2231,138,1574,351,1080,1244,3653
137,138,2810.000000000000000,0.000204082801435,1,717,716,147.041637011000006,79.245023258200007,413187.000000000000000,326,135,2,137,252,287,717
138,139,7008622.000000000000000,0.509017513152000,1,5085,5084,1450.920286470000065,1150.911246930000061,10168951840.000000000000000,4798,302,4905,1065,3227,3728,5085
139,140,11502876.000000000000000,0.835423188127000,1,4962,4961,1515.445900749999964,869.591285696999989,17431986281.000000000000000,4637,1359,4479,1353,2847,3334,4962
140,141,6552222.000000000000000,0.475870399069000,1,4718,4717,1150.325482559999955,640.264914102000034,7537187934.000000000000000,4407,1357,4333,1119,1724,2292,4718
141,142,1634394.000000000000000,0.118701674793000,1,4341,4340,931.577466632999972,451.600793216000000,1522564622.000000000000000,3091,908,2161,935,1432,1559,4341
142,143,510098.000000000000000,0.037047056528900,1,3561,3560,562.775466674999961,393.960024875999977,287070640.000000000000000,2213,152,1634,480,1091,1237,3561
143,144,26890.000000000000000,0.001952948943270,1,823,822,130.730717738999999,68.099909957600005,3515349.000000000000000,385,103,287,125,217,248,823
144,145,12216434.000000000000000,0.887247001517000,1,4850,4849,1662.893291280000085,939.402209542000037,20314626142.000000000000000,4691,1334,4647,1493,3017,3511,4850
145,146,6604673.000000000000000,0.479679775232000,1,4751,4750,1213.771623209999916,737.800390374000017,8016564668.000000000000000,4500,1351,4541,1124,2043,2878,4751
146,147,1183468.000000000000000,0.085952122721800,1,4483,4482,975.869546113999945,477.254793045999975,1154910380.000000000000000,3338,912,2257,959,1485,1686,4483
147,148,537380.000000000000000,0.039028475386100,1,4334,4333,627.871867208000026,426.667228210000019,337405784.000000000000000,2199,943,1799,582,1179,1337,4334
148,149,1348371.000000000000000,0.097928587563500,1,3462,3461,470.194885532000001,370.333060750000016,633997148.000000000000000,2088,161,1539,342,1001,1131,3462
149,150,229470.000000000000000,0.016665793752800,1,1689,1688,236.399524992000011,279.845981793000021,54246599.000000000000000,1418,107,617,137,662,961,1689
150,151,11448792.000000000000000,0.831495211532000,1,4691,4690,993.594469006000054,709.929651057999990,11375456408.000000000000000,4503,540,3845,805,1965,2483,4691
151,152,10885259.000000000000000,0.790567313546000,1,4899,4898,1263.966073110000025,851.064465117000054,13758598073.000000000000000,4686,872,4746,1081,2517,2993,4899
152,153,11813496.000000000000000,0.857982689829000,1,5417,5416,1514.238713499999903,1016.935452339999983,17888452985.000000000000000,4716,789,4655,1255,3070,3606,5417
153,154,12212774.000000000000000,0.886981185484000,1,4764,4763,1668.017157850000103,942.747416586999975,20371116577.000000000000000,4670,1330,4567,1456,3081,3540,4764
154,155,3766804.000000000000000,0.273572922696000,1,4775,4774,1001.467917899999975,512.478138442000045,3772333359.000000000000000,4149,1357,2418,992,1499,1646,4775
155,156,678691.000000000000000,0.049291516223700,1,4214,4213,824.487282135999976,403.988597238000011,559572098.000000000000000,2327,958,1896,853,1322,1420,4214
156,157,529745.000000000000000,0.038473965710300,1,2714,2713,543.439390649999950,373.499410798999975,287884300.000000000000000,2052,157,1496,486,1027,1166,2714
157,158,1489753.000000000000000,0.108196784942000,1,2564,2563,440.039176293000025,351.048587288000022,655549683.000000000000000,1959,139,1569,312,960,1089,2564
158,159,405588.000000000000000,0.029456774116800,1,2248,2247,394.566121285999998,400.508707667000010,160031284.000000000000000,1608,112,1509,192,1062,1202,2248
159,160,9442506.000000000000000,0.685784013183000,1,4710,4709,883.894716826000035,672.228410344000054,8346181167.000000000000000,4323,495,4592,683,1848,2282,4710
160,161,7966019.000000000000000,0.578550702421000,1,4703,4702,1007.691377590000002,714.168048412999951,8027288660.000000000000000,4342,436,4271,809,2012,2405,4703
161,162,9179678.000000000000000,0.666695516907000,1,4663,4662,1100.808047620000025,711.320845355999950,10105063417.000000000000000,4408,484,4408,980,2054,2467,4663
162,163,11146565.000000000000000,0.809545271023000,1,4778,4777,1298.825942429999941,766.567017201999988,14477447791.000000000000000,4542,1363,4516,1183,2370,2918,4778
163,164,10278940.000000000000000,0.746531982555000,1,4859,4858,1189.825330919999942,709.390602048999995,12230143187.000000000000000,4508,1371,4479,1119,2002,2660,4859
164,165,4934742.000000000000000,0.358397142960000,1,4439,4438,985.690897922999966,415.638381101999983,4864130273.000000000000000,3619,1329,2409,1006,1437,1531,4439
165,166,2975020.000000000000000,0.216067763674000,1,4141,4140,799.088966797000012,348.041095580999979,2377305658.000000000000000,2190,928,1851,851,1228,1325,4141
166,167,1496078.000000000000000,0.108656152813000,1,4396,4395,797.915862675999961,408.256477065000013,1193744368.000000000000000,2258,912,1676,847,1300,1389,4396
167,168,380523.000000000000000,0.027636370053500,1,4179,4178,832.878125631999978,422.534345997000003,316929283.000000000000000,2002,867,1660,876,1342,1442,4179
168,169,190489.000000000000000,0.013834707744700,1,2282,2281,657.726456645999974,455.210943853999993,125289655.000000000000000,1710,129,1463,671,1275,1390,2282
169,170,192.000000000000000,0.000013944447642,3,398,395,75.921875000000000,53.525394485400000,14577.000000000000000,72,68,3,63,153,184,398
170,171,2673.000000000000000,0.000194132857023,1,1393,1392,149.521137299000003,108.739299872999993,399670.000000000000000,363,128,10,125,293,350,1393
171,172,10837678.000000000000000,0.787111632487000,1,4614,4613,835.472277179999992,643.419445770000038,9054579518.000000000000000,4188,422,4328,644,1716,2175,4614
172,173,8830232.000000000000000,0.641316186434000,1,4739,4738,921.105092595999963,731.598208141999976,8133571664.000000000000000,4483,444,4359,701,1939,2489,4739
173,174,7660949.000000000000000,0.556394282409000,1,4750,4749,952.638899828000035,719.733694736999951,7298118027.000000000000000,4414,426,4157,750,1970,2389,4750
174,175,5261234.000000000000000,0.382109385667000,1,4889,4888,844.775084134000053,607.696728405000044,4444559395.000000000000000,4186,348,3257,696,1628,1981,4889
175,176,5627902.000000000000000,0.408739504043000,1,4553,4552,879.641149046000010,550.299590729999977,4950534182.000000000000000,4115,526,3504,791,1551,1844,4553
176,177,6442962.000000000000000,0.467935136832000,1,4324,4323,924.677136540999982,411.071410825999976,5957659653.000000000000000,3061,881,2547,934,1427,1520,4324
177,178,8105794.000000000000000,0.588702187677000,1,4456,4455,985.047288767000055,389.647551028000009,7984590403.000000000000000,3559,1113,2680,1009,1432,1522,4456
178,179,5826959.000000000000000,0.423196482764000,1,4275,4274,928.017662214999973,342.559965307000027,5407520869.000000000000000,2347,922,1996,950,1343,1417,4275
179,180,4129068.000000000000000,0.299883190304000,1,4477,4476,828.616135892999978,336.054652568999984,3421412371.000000000000000,2157,929,1782,863,1245,1335,4477
180,181,1762445.000000000000000,0.128001677215000,1,4285,4284,826.299330191999957,390.764834373999975,1456307123.000000000000000,2255,934,1894,870,1307,1391,4285
181,182,142038.000000000000000,0.010315840907500,1,3007,3006,770.905433756999969,390.144871512999998,109497866.000000000000000,1730,951,1516,817,1260,1355,3007
182,183,2747.000000000000000,0.000199507279552,1,1433,1432,247.091372406000005,304.291305202999979,678760.000000000000000,473,174,1,141,787,1074,1433
183,184,489.000000000000000,0.000035514765090,20,264,244,117.813905930000004,50.283939498099997,57611.000000000000000,135,82,33,115,183,192,264
184,185,1790.000000000000000,0.000130002923334,1,228,227,75.559776536300006,40.049279029600001,135252.000000000000000,179,68,2,66,133,165,228
