ID,meanAGB,100Y,AGBeq,c,t
490,69.92727357,69.79857427,69.93311285,1,15.99118943
491,73.93595709,73.81044083,73.93667582,1,15.69164265
492,74.51136191,74.43325319,74.51289896,1,14.61744966
493,79.64068916,79.51806282,79.64097312,1,15.44680851
494,77.14823935,77.06548188,77.15722475,0.99994259,14.84879483
495,76.60583989,76.32968926,76.43416729,0.996978917,15.16947773
496,76.84781787,76.56980573,76.66962393,0.997105998,15.05794145
497,71.36683944,70.91305002,71.00631592,0.995126402,15.08253029
501,36.47920987,34.84412206,35.74968601,0.997081949,27.2267838
505,38.80875076,37.63517997,38.80871701,1.000000001,28.58267717
506,47.94182157,47.56884187,47.94474052,1.000000013,20.625
507,52.39962137,52.10335267,52.39613683,1.000815592,19.27537905
509,69.59417833,69.12151768,69.59696225,1,20.05524862
510,71.02269039,70.49603088,71.01816631,1,20.35514019
511,68.84560942,68.76319442,68.84238823,1,14.7761194
512,70.63394266,70.59234125,70.63707624,1,13.57855362
513,70.29032234,70.15460522,70.29750513,1,16.13333333
514,73.30571887,73.13116932,73.30535962,1,16.55015198
515,77.39412469,77.26720503,77.39935199,1,15.69164265
516,78.26151746,78.16147094,78.26432593,1,15.07266436
517,79.46742088,79.3587642,79.46319474,1,15.07266436
518,75.9144023,75.79963309,75.87292002,0.999003748,14.40623993
520,66.41740209,66.33587409,66.42276703,1,15.06224066
521,88.46828949,48.16677422,49.55806939,0.943991352,28.44050184
522,48.62334198,41.50102965,41.66572534,0.985094425,18.12136929
526,37.77375508,36.6807863,37.74777745,1.001290602,28.03197093
527,46.37144531,45.97291146,46.37514959,1,21.06382979
528,53.63146931,53.21841022,53.62840955,1.001556993,20.51185898
529,56.40739495,56.13937616,56.4062564,1.000000005,18.67924528
533,70.1016885,70.0544911,70.10735392,1,13.90804598
534,71.12788559,71.07416596,71.13350345,1,14.10621762
535,74.42571235,74.3781693,74.42639867,1,13.62101313
536,68.30993255,68.24374267,68.31380647,1,14.52968645
537,68.37216021,68.15783201,68.37380846,1,17.36842105
538,72.9793643,72.80416536,72.97918035,1,16.57534247
539,70.93941582,70.84711356,70.93822476,1,15.02068965
540,73.13919144,73.04138788,73.14063398,0.999973617,15.14575429
541,73.86920315,73.79260027,73.87410794,0.999921708,14.68570608
545,42.97436253,42.53186721,42.65124508,0.997031049,17.01968708
549,43.17648399,39.06270618,40.40514615,1.027288979,29.1464862
550,46.76770188,46.37954031,46.76518424,1,20.84210526
551,53.07393044,52.67603754,53.08466054,1,20.54716981
553,64.62826392,64.57567773,64.62961959,1.002896884,14.10156243
558,80.628741,80.54542361,80.63566348,1,14.71621621
559,72.44436667,72.4270969,72.44290942,1,11.8627451
560,68.18586718,68.034164,68.18471067,1,16.35135135
561,66.8872876,66.55328802,66.89078627,1,18.90625
562,67.03802898,66.91679802,67.04460064,1,15.96774194
563,66.08801135,65.95719178,66.08258353,1,15.95604396
564,70.05015321,69.92878273,70.06172491,1,15.95604396
565,70.4741688,70.35371123,70.47293262,1,15.66906475
571,40.28099363,38.43124013,40.27838989,1.002011563,32.42401162
572,39.41716232,37.41079232,39.45667877,1.005472399,33.73038463
573,39.41184069,37.4050538,39.41676277,1.000000016,33.61111126
575,51.53145744,51.48466391,51.53584818,1.000000006,14.46215139
578,87.88394277,81.0409898,81.04246759,1.91251522,8.650076008
579,76.06974033,73.45152878,73.45178913,2.073908903,7.530359555
581,79.04948284,54.80751837,56.16502949,0.945364406,27.26905402
582,129.6054855,69.41252608,75.01514895,1.125881574,36.9175993
583,71.96379362,71.8869759,71.96180478,1,14.55882353
584,73.01291616,72.94544882,73.01763614,1,14.45255474
585,75.82012339,75.74457962,75.81851058,1,14.42384106
586,74.71537342,74.67214307,74.71017378,0.999996387,13.18743801
587,61.21424731,61.0736272,61.20753351,1,16.32683658
588,66.41260277,65.91613824,66.41346965,1,20.43151968
589,59.45999862,59.33551569,59.46148765,1,16.24161074
590,58.53383711,58.41557342,58.5395923,1,16.24161074
591,57.49441482,57.3933386,57.50244954,1,15.95604396
596,52.36016471,44.8375879,45.47436706,0.989780832,23.48364868
604,77.78973675,69.18785115,69.37032941,1.006459371,16.81516237
605,82.93393585,78.41921019,78.42053761,1.937591692,8.585130917
606,70.10895172,65.5327965,65.5949788,1.13006441,14.11750599
607,63.5405792,55.73266243,55.90932743,1.010656854,17.33758793
608,77.3208173,51.27237952,52.23788176,0.95918144,25.3187923
609,55.75365131,51.45702175,51.86141223,0.997601659,20.61193735
610,70.57166316,63.5168482,64.7133367,1.004498458,25.03114495
611,82.94099703,65.98694565,68.03559846,0.968172449,28.81011171
612,72.93758027,72.86585248,72.93796102,1,14.45255474
613,75.34641593,75.2724419,75.35079479,1,14.55882353
615,57.2511875,57.0696819,57.24804098,1,17.32696897
